GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024R1I7	TFIP11	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9ERA6|ensembl:ENSMUSP00000031288	9606	Ensembl		C
UniProtKB	A0A024R456	COL4A3	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001442|InterPro:IPR036954	9606	InterPro		F
UniProtKB	A0A024R456	COL4A3	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A024R456	COL4A3	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A024R4D5	GPC1	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001863	9606	InterPro		C
UniProtKB	A0A024R5Z7	ANXA2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A024R5Z7	ANXA2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A024R6R4	MMP2	part_of	GO:0031012	extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001818|InterPro:IPR021158	9606	InterPro		C
UniProtKB	A0A024R6U8	MMP15	part_of	GO:0031012	extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001818|InterPro:IPR021158	9606	InterPro		C
UniProtKB	A0A024R778	PTN	part_of	GO:0005604	basement membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P63090|ensembl:ENSRNOP00000016088	9606	Ensembl		C
UniProtKB	A0A024R884	TNC	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033078	9606	InterPro		C
UniProtKB	A0A024R8E5	COL5A1	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000885	9606	InterPro		F
UniProtKB	A0A024R8E5	COL5A1	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88207|ensembl:ENSMUSP00000028280	9606	Ensembl		C
UniProtKB	A0A024R8E5	COL5A1	part_of	GO:0005604	basement membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88207|ensembl:ENSMUSP00000028280	9606	Ensembl		C
UniProtKB	A0A024R8E5	COL5A1	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O88207|ensembl:ENSMUSP00000028280	9606	Ensembl		F
UniProtKB	A0A024R8T0	ITGB4	part_of	GO:0005604	basement membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A2A863|ensembl:ENSMUSP00000102069	9606	Ensembl		C
UniProtKB	A0A024R971	FMOD	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027215	9606	InterPro		C
UniProtKB	A0A024R972	LAMC1	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A024R972	LAMC1	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A024R9J4	NOV	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QZQ5|ensembl:ENSRNOP00000011904	9606	Ensembl		C
UniProtKB	A0A024RA94	MFAP2	part_of	GO:0001527	microfibril	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008673	9606	InterPro		C
UniProtKB	A0A024RAB4	ALPL	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P09242|ensembl:ENSMUSP00000030551	9606	Ensembl		C
UniProtKB	A0A024RAB6	HSPG2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A024RAB6	HSPG2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A024RAK9	HAPLN1	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9QUP5|ensembl:ENSMUSP00000022108	9606	Ensembl		C
UniProtKB	A0A024RAX0	MGP	part_of	GO:0031012	extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027118	9606	InterPro		C
UniProtKB	A0A024RAX0	MGP	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR027118	9606	InterPro		C
UniProtKB	A0A024RBC3	DSPG3	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P70186|ensembl:ENSMUSP00000100922	9606	Ensembl		C
UniProtKB	A0A024RBG6	DCN	enables	GO:0030021	extracellular matrix structural constituent conferring compression resistance	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR028549	9606	InterPro		F
UniProtKB	A0A024RDS2	POSTN	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62009|ensembl:ENSMUSP00000080276	9606	Ensembl		C
UniProtKB	A0A024RDS2	POSTN	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q62009|ensembl:ENSMUSP00000080276	9606	Ensembl		C
UniProtKB	A0A024RDW8	COL4A2	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001442|InterPro:IPR036954	9606	InterPro		F
UniProtKB	A0A024RDW8	COL4A2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A024RDW8	COL4A2	part_of	GO:0005587	collagen type IV trimer	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P08122|ensembl:ENSMUSP00000033899	9606	Ensembl		C
UniProtKB	A0A024RDW8	COL4A2	part_of	GO:0005604	basement membrane	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P08122|ensembl:ENSMUSP00000033899	9606	Ensembl		C
UniProtKB	A0A024RDW8	COL4A2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A067XJX6	GRP	part_of	GO:0031012	extracellular matrix	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q14BU0|ensembl:ENSMUSP00000110662	9606	Ensembl		C
UniProtKB	A0A087WT82	GPC6	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001863	9606	InterPro		C
UniProtKB	A0A087WTA8	COL1A2	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000885	9606	InterPro		F
UniProtKB	A0A087WV21	AMBN	enables	GO:0030345	structural constituent of tooth enamel	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007798	9606	InterPro		F
UniProtKB	A0A087WVR1	LTBP4	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011398	9606	InterPro		F
UniProtKB	A0A087WVR1	LTBP4	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011398	9606	InterPro		C
UniProtKB	A0A087WWA5	TNXB	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033081	9606	InterPro		C
UniProtKB	A0A087WX80	LAMA2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A087WX80	LAMA2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A087WX91	GPC5	part_of	GO:0062023	collagen-containing extracellular matrix	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001863	9606	InterPro		C
UniProtKB	A0A087WYF1	LAMA2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A087WYF1	LAMA2	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
UniProtKB	A0A087WYL3	IMPG1	part_of	GO:0033165	interphotoreceptor matrix	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0146	9606	UniProt		C
UniProtKB	A0A087WYX9	COL5A2	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000885	9606	InterPro		F
UniProtKB	A0A087WZY5	COL4A6	enables	GO:0005201	extracellular matrix structural constituent	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001442|InterPro:IPR036954	9606	InterPro		F
UniProtKB	A0A087WZY5	COL4A6	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0084	9606	UniProt		C
UniProtKB	A0A087WZY5	COL4A6	part_of	GO:0005604	basement membrane	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0025	9606	UniProt		C
